[2024-11-19 13:23:35.791]	     | Already up to date.
[2024-11-19 13:23:35.791]	     | Already up to date.
[2024-11-19 13:23:35.798]	   "tmux-resurrect" update success
[2024-11-19 13:23:35.803]	     | Already up to date.
[2024-11-19 13:23:35.820]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-19 13:23:35.964]	 Done.

[2024-11-27 20:30:33.326]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-11-27 20:30:33.344]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 20:30:34.084]	 Installing "tags"
[2024-11-27 20:30:34.101]	 Already installed "tmux-copycat"
[2024-11-27 20:30:34.102]	 Already installed "tmux-resurrect"
[2024-11-27 20:30:34.102]	 Already installed "tmux-continuum"
[2024-11-27 20:30:34.543]	   "tags" download fail
[2024-11-27 20:30:34.563]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-27 20:30:34.950]	 Updating all plugins!
[2024-11-27 20:30:34.950]	 
[2024-11-27 20:30:36.110]	   "tmux-copycat" update success
[2024-11-27 20:30:36.112]	     | Already up to date.
[2024-11-27 20:30:36.112]	   "tmux-continuum" update success
[2024-11-27 20:30:36.114]	     | Already up to date.
[2024-11-27 20:30:36.117]	   "tmux-resurrect" update success
[2024-11-27 20:30:36.119]	     | Already up to date.
[2024-11-27 20:30:36.130]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-27 20:30:36.230]	 Done.

[2024-12-06 13:43:30.944]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-12-06 13:43:30.963]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-12-06 13:43:31.248]	 Installing "tags"
[2024-12-06 13:43:31.267]	 Already installed "tmux-copycat"
[2024-12-06 13:43:31.268]	 Already installed "tmux-resurrect"
